category,text
politics,"प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्ड शनिबार अमेरिका प्रस्थान गरेका छन् । अमेरिकाको न्यूयोर्कमा हुने संयुक्त राष्ट्रसंघको महासभामा भाग लिन प्रधानमन्त्री प्रचण्ड त्यसतर्फ प्रस्थान गरेका हुन् । उनलाई त्रिभुवन विमानस्थलमा उपप्रधानमन्त्री तथा रक्षामन्त्री पूर्णबहादुर खड्काले बिदाइ गरेका छन् । प्रधानमन्त्री प्रचण्ड संयुक्त राष्ट्रसंघीय महासभामा भाग लिएर त्यतैबाट चीन भ्रमणमा जाने कार्यक्रम छ ।"
politics,"प्रधानमन्त्री पुष्पकमल दाहालले सत्य निरुपण तथा मेलमिलाप आयोग र बेपत्ता छानबिन आयोगसम्बन्धी विधेयक पारित गर्न सहयोग खोजेपछि एमाले अध्यक्ष केपी शर्मा ओलीले ‘सहयोग गर्नुपर्ने’ कारण मागेका छन् । शान्तिप्रक्रियाका बाँकी काम पूरा गर्न एमाले तयार रहेको तर सरकार निरन्तर एमालेलाई कमजोर बनाउने षड्यन्त्रमा लागिरहेको ओलीको आरोप छ । उनले सहयोग एकपक्षीय नहुने पनि दाहाललाई स्पष्ट पारेका छन् ।"
politics,"नेपाली कांग्रेसका महामन्त्री गगनकुमार थापाले बिपीको कोइरालाको विचारलाई मूर्ति झैँ पूजा गर्नेकुरा बिपीमाथिको ठूलो अन्याय भएको बताएका छन‍्। शनिबार बिपी कोइरालाको जेल डायरी लोकार्पण समारोहलाई सम्बोधन गर्दै उनले बिपीलाई महामानव भन्दै गर्दा महामानवको आवरण भित्र गुम्सिएका महाविचारहरू ओझेलमा परेको बताए। उनले महामानव भनेर बिपीको विचारमा छलफल नै गर्नु नहुने, बिपीको विचारलाई मूर्ति पूजा गरेको जस्तो पूजा गर्नेकुरा बिपीमाथिको ठूलो अन्याय हुने उल्लेख गरे। उनले बिपीले आफूलाई मानव झैँ व्यवहार गर्ने तर आफ्नो विचारलाई निष्ठाको अर्थमा बुझ्न आग्रह गरेको उल्लेख गरेका थिए। ‘बिपी मान्छे हो, मान्छे भित्रका कुरा हामीले बुझ्नुपर्छ। बिपीले म मान्छे हुँ भनिरहनुभएको छ। मलाई मान्छे जसरी नै व्यवहार गर, बुझ भन्नुभएको छ। तर मेरो निष्ठालाई त्यसको अर्थमा बुझ भन्नुभएको ठाउँमा निष्ठा ठ्याक्कै छोडेर मान्छे होइन, मान्छे भन्दा माथिको मान्छे हो भनेर जुन हामीले गरिरहेका छौं, त्यो अन्याय हो,’ उनले भने, ‘त्यो अन्याय गरेको कुराबाट हामीले बाहिर निकाल्नुपर्छ। यसको प्रयास यसपटक नेपाली कांग्रेसको प्रांगणमा बिपी महोत्सव भनेर छलफल गरेका छौं।’"
politics,"नेकपा (एकीकृत समाजवादी)ले आफ्ना पार्टीका नेताहरूको कार्यविभाजनमा हेरफेर गरेको छ । केन्द्रीय सचिवालयको ६६औँ बैठकले केन्द्रीय कमिटीको कार्यविभाजनमा केही हेरफेर गरेको पार्टीका उपाध्यक्ष प्रमेश हमालले जानकारी दिए ।"
politics,"प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डले प्रतिनिधि सभा बैठकलाई सम्बोधन गरेका छन् । प्रतिनिधि सभाको शुक्रबारको बैठकमा प्रधानमन्त्रीले चीन भ्रमणलगायत विषयमा जानकारी गराएका हुन् । प्रधानमन्त्री दाहाल संयुक्त राष्ट्रसंघको महासभामा भाग लिन शनिबार अमेरिका जाने कार्यक्रम छ । प्रधानमन्त्री दाहाल असोज ५ गते अमेरिकाबाटै चीन जानेछन् ।"
politics,"प्रधानमन्त्री पुष्पकमल दाहाल ले अब पनि केहि नीतिगत सुधार नचाल्ने हो भने केहि गम्भीर कदमहरु चाल्ने हो र अफ़्टेरो स्थिति आउन सक्ने विचार व्यक्त गरेका छन्। नेपाल उद्योग परिसंघले आयोजना गरेको  प्रेसिडेन्टस् ब्यान्क्वेटमा प्रधानमन्त्री प्रचण्डको सम्बोधनको क्रममा उनले भने ,अर्थतन्त्र सुधारका लागि हाम्रा प्रयासहरु पर्याप्त छैनन्। अर्थतन्त्र अहिले पनि दबाबमा छ। केहि नीतिगत र केहि व्यवहारिक सुधारका केहि गम्भीर कदमहरु नचाल्ने हो भने अफ़्टेरो स्थिति छ भन्ने महसुस सरकारलाई भइ नै राखेको छ।  सार्वजनिक कार्यक्रममा पहिलो पटक प्रधामन्त्रीले राष्ट्र बैंक प्रति इंगित गर्दै केन्द्रिय बैंकको काम गराई र मौदिक नीति प्रति असन्तुष्टि ब्यक्त गरेका छन्। नेपालको केन्द्रिय बैंक नेपाल राष्ट्र बैंकको मौद्रिक नीति, सरकारको वित्तीय नीति र निजि क्षेत्रको चाहनाको बिचमा समुचित तालमेल गर्ने कुरा अझै पनि एउटा चुनौतीको रुपमा हाम्रो अगाडी उपस्थित छ। प्रधानमन्त्री प्रचण्डले भने । उनले अर्थतन्त्र चलायमान र मौद्रिक नीति र वित्तीय नीतिको बिचमा र सार्वजनिक क्षेत्र र निजि क्षेत्रको बिचमा तालमेल मिलाउन आफुले धेरै प्रयास आएको तर धेरै नै सुधार गर्नु पर्ने देखिएको विचार व्यक्त गरे। प्रधामन्त्रीको हैसियतले मौद्रिक नीति र वित्तीय नीतिको बिचमा र सार्वजनिक क्षेत्र र निजि क्षेत्रको बिचमा तालमेल मिलाउन आफुले धेरै प्रयास र बैठक गर्दै पनि आएको छु, केहि मात्राक्रमक रुपमा सुधार भएको महसुस भएता पनि आजको आवश्यकता अनुसारको मौद्रिक नीति र आजको आवश्यकता अनुसारको वित्तीय नीति र आवश्यकता अनुसारको सोच र कार्यशैलीमा धेरै नै सुधार गर्नु पर्ने भने रहिरहेको भने महसुस हुन्छ। प्रधानमन्त्रीले भने।"
politics,"संसदीय सुनुवाइ समितिले सर्वोच्च अदालतको न्यायाधीशमा विनोद शर्माको नाम सर्वसम्मतिले अनुमोदन गरेको छ । समितिको शुक्रबारको बैठकले शर्माको सुनुवाइ गर्ने निर्णय गरेपछि उनको नाम सर्वसम्मतिले अनुमोदन गरेको हो ।"
politics,"राष्ट्रिय स्वतन्त्र पार्टीका प्रमुख सचेतक सन्तोष परियारले पार्टीका पूर्वसांसद डा.ढाकाकुमार श्रेष्ठलाई मन्त्री बनाइदिने भनि पैसा माग गरेको आरोप लागेका पार्टीका नेतामाथि छानबिन भइरहेको बताएका छन् ।"
politics,"प्रतिनिधिसभाले संविधानसभाका अध्यक्ष, पूर्वसभामुख तथा वर्तमान प्रतिनिधिसभा सदस्य सुवासचन्द्र नेम्वाङको निधनप्रति शोक प्रस्ताव पारित गरेको छ । बिहीबारको दिउँसो बसेको बैठकमा सभामुख देवराज घिमिरेले निर्णयार्थ प्रस्तुत शोक प्रस्ताव सर्वसम्मत पारित भएको हो ।"
politics,"राष्ट्रिय सभाको बैठकले संविधानसभाका अध्यक्ष, पूर्वसभामुख, वर्तमान प्रतिनिधि सभा सदस्य तथा एमालेका केन्द्रीय उपाध्यक्ष एवं प्रतिनिधि सभामा संसदीय दलका उपनेता सुवासचन्द्र नेम्वाङको निधनमा शोक प्रस्ताव पारित गरेको छ ।"
sports,"भारतीय क्रिकेट टीमका पूर्व कप्तान सौरव गांगुली राजनीतिमा आउने चर्चा बेलाबेला हुने गर्छ । यतिबेला उनी पश्चिम बंगालकी मुख्यमन्त्री ममता बनर्जीसँग स्पेन भ्रमणमा छन् । स्पेनको म्याड्रिडमा आयोजित एक कार्यक्रममा पूर्व कप्तान गांगुलीले आफू स्टील उत्पादन क्षेत्रको व्यवसायमा लागेको खुलासा गरेका छन् । भारतीय सञ्चारमाध्यमका अनुसार उनले पश्चिम बंगालको मेदिनीपुरस्थित सालबोनीमा स्टील उद्योग स्थापना गरिरहेका छन् । तृणमूल कांग्रेसका प्रवक्ता कुणाल घोषले समेत यसबारे फेसबूक पेजमार्फत जानकारी दिएका छन् । उनी मुख्यमन्त्री बनर्जीसँगै १२ दिने स्पेन र दुबई भ्रमणमा छन् ।"
sports,"किरण राणाको कप्तानीमा नेपालले पाकिस्तानमा हुने भेट्रानको ग्लोबल कप क्रिकेट प्रतियोगितामा प्रतिस्पर्धा गर्ने भएको छ । पाकिस्तान भेट्रान्स क्रिकेट संघको आयोजनामा सेप्टेम्बर १८ देखि अक्टोबर २ सम्म कराँचीमा हुने प्रतियोगितामा ४० वर्षमाथिका खेलाडीले प्रतिस्पर्धा गर्नेछन् ।"
sports,"एभरेस्ट युनाइटेड क्लबले मेलबर्नमा नेपाली समुदायबीच फुटबल प्रतियोगिता सियरा कप आयोजना गर्ने भएको छ । यही सेप्टेम्बर २३ र २४ मा गरिने आयोजकले जनाएको छ ।"
sports,"कुशल मेन्डिसको ९१ तथा चारिथ असलन्काको ४९ नटआउट रनको मद्दतले श्रीलंकाले एसियाकप २०२३ मा बिहीबार पाकिस्तानलाई दुई विकेटले पराजित गर्दै फाइनल प्रवेश गरेको छ । उपाधिको भिडन्तमा श्रीलंकाको सामना भारतसँग हुनेछ ।"
sports,"आयोजक ग्रिनल्यान्डले १७ औं क्विक्स–ग्रिनल्यान्ड अन्तर विद्यालय बास्केटबल प्रतियोगितामा बिहीबार विजय पाएको छ । जुनियर ब्वाइजमा ग्रिनल्यान्डले भद्रकालीलाई २६–१६ ले पराजित गर्‍यो ।"
sports,"हेटौंडामा यहि असोज १६ गतेदेखि राष्ट्रिय भेट्रान्स कप फुटबल प्रतियोगिता हुने भएको छ। प्रतियोगिता हेटौँडा– ७ मा रहेको नागस्वती भेट्रान्स क्लबको आयोजनामा हुन लागेको हो। ‘स्वास्थ्यका लागि खेल’ भन्ने नाराका साथ आयोजना गर्न लागिएको दोस्रो संस्करणको राष्ट्रिय रनिङ शिल्ड एट ए साइड फुटबल प्रतियोगितामा देशभरका १८ देखि २० वटासम्म क्लबहरुको सहभागिता रहने आयोजक क्लबका अध्यक्ष सोमबहादुर तितुङले जानकारी दिए। ad प्रतियोगितामा देशभरका ४० वर्षमाथी उमेर समूहका खेलाडीहरुको सहभागिता रहने अध्यक्ष तितुङको भनाई छ। प्रतियोगिताको बिजेतालाई दुई लाख एक हजार र उपविजेतालाई एकलाख एक हजार नगद पुरस्कारसहित रनिङ शिल्ड प्रदान गरिने छ। यस्तै प्रतियोगितका विधागत उत्कृष्ट खेलाडीहरुलाई पनि पुरस्कार प्रदान गरिने अध्यक्ष तितुङले जानकारी दिए। उनले प्रतियोगिताका सर्वाधिक गोलकर्ता, फरवार्ड, गोलकिपर, डिफेन्स र टिम कोचलाई जनही पाँच÷पाँच हजार रुपैयाँ प्रदान गरिने बताए। हेटौँडा ७ मा रहेको नवज्योति माविको खेल मैदानमा हुने प्रतियोगिता सम्पन्न गर्न १६ लाख बढी खर्च लाग्ने अनुमान गरिएको अध्यक्ष तितुङले जानकारी दिए। यसअघि आयोजना गरिएको पहिलो संस्करणको प्रतियोगिताको उपाधि आयोजक नागस्वती भेट्रान्स आफैंले जितेको थियो।"
sports,"सहिद स्मारक लिग फुटबल खेल्ने क्रममा त्रिभुवन आर्मी क्लबका रक्षक विकास खवास नराम्ररी घाइते भए । उनको एसीएल गएको थियो । अहिले पनि विकासले बी एन्ड बी अस्पताल ग्वार्कोमा रिह्याब गराइरहेका छन् ।"
sports,"नेपाल बास्केटबल संघको आयोजनामा नेबा प्लस टु थ्री बाइ थ्री बास्केटबल प्रतियोगिता शुक्रबार सुरु हुनेछ । प्रतियोगितामा ४५ टिमको सहभागिता रहने बुधबार पत्रकार सम्मेलनमा संघका अध्यक्ष भीमसिंह गुरुङले बताए ।"
sports,"पाकिस्तानका तीव्र गतिका बलर नसिम शाहले विश्वकप क्रिकेट गुमाउने भएका छन् । दाहिने काँधमा लागेको चोट शुरुमा आशंका गरिएको भन्दा खराब रहेको पत्ता लागेपछि उनले विश्वकप गुमाउने भएको क्रिक इन्फोले जनाएको छ । विश्वकप आउँदो अक्टोबरको ५ तारिखदेखि भारतमा शुरु हुँदैछ । पाकिस्तान क्रिकेट बोर्ड पीसीबीले उनको विकल्प खोजिरहेको खबरमा उल्लेख छ । उनको चोटको अवस्था हेर्दा यो वर्षभरी मैदान फर्कन सक्ने सम्भावना छैन । एसिया कप क्रिकेटमा भारतसँगको खेलमा घाइते हुँदै नसिम बीचमै मैदानबाट फर्किएका थिए । विश्वकपमा नसिमको अनुपस्थिति पाकिस्तानको लागि झट्काका रुपमा हेरिएको छ । नसिमलाई करियरको शुरुवाती चरणमा चोटपटक लागेको थियो । नसिम सबै ढाँचामा पाकिस्तानका लागि महत्वपूर्ण बलर बनेका छन् । उनी आफ्नो एकदिवसीयमा डेब्यु गरेदेखि सबैभन्दा शक्तिशाली बलर हुन् ।"
sports,"नेपाल खेलकुद पत्रकार मञ्च (एनएसजेएफ) ले आफ्नो २८औं स्थापना दिवसको अवसरमा दुई पत्रकारलाई सम्मान गरेको छ । एनएसजेएफ अग्रज खेलकुद पत्रकारिता अवार्ड मुकुन्द बोगटी र सुमन भोम्जन युवा खेलकुद पत्रकारिता सम्मान रमेश सुवेदीलाई दिएको हो ।"
